entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score,confidence,atr_ticks,vol_percentile
2019-01-15 19:35:00+00:00,2019-01-15 20:35:00+00:00,long,1,2597.75,2606.5,37.8,TIME_EXIT,48,0.4369175529687801,0.0978154235478107,10.857142857142858,0.69
2019-01-18 19:30:00+00:00,2019-01-18 20:30:00+00:00,long,1,2667.5,2667.0,-8.45,TIME_EXIT,48,0.435695390187488,0.13080084598011776,10.071428571428571,0.25
2019-01-23 19:45:00+00:00,2019-01-23 20:45:00+00:00,long,1,2630.25,2636.75,26.55,TIME_EXIT,48,0.436595234345801,0.07557969047545021,13.357142857142858,0.45
2019-01-25 19:30:00+00:00,2019-01-25 20:30:00+00:00,long,1,2664.0,2659.5,-28.45,TIME_EXIT,48,0.4358674428540812,0.12168890286407502,8.785714285714286,0.02
2019-01-31 19:50:00+00:00,2019-01-31 20:50:00+00:00,long,1,2698.25,2700.25,4.05,TIME_EXIT,48,0.43635081553865834,0.10731047230592877,9.5,0.01
2019-02-20 19:45:00+00:00,2019-02-20 20:45:00+00:00,long,1,2782.5,2784.5,4.05,TIME_EXIT,48,0.4371859612672592,0.08072281066628184,15.071428571428571,1.0
2019-05-01 18:45:00+00:00,2019-05-01 19:45:00+00:00,long,1,2939.75,2932.25,-43.45,TIME_EXIT,48,0.44642915198032823,0.07271362596686676,14.357142857142858,1.0
2019-05-08 18:20:00+00:00,2019-05-08 19:20:00+00:00,long,1,2889.0,2896.0,29.05,TIME_EXIT,48,0.4349789672178721,0.09422333289919971,10.5,0.01
2019-05-14 18:50:00+00:00,2019-05-14 19:45:00+00:00,long,1,2850.75,2837.25,-73.45,CATASTOP,48,0.4366904599871108,0.09973310902989402,9.142857142857142,0.2
2019-05-17 18:40:00+00:00,2019-05-17 19:10:00+00:00,long,1,2874.0,2860.5,-73.45,CATASTOP,48,0.4353179167259404,0.07169864661421926,11.285714285714286,0.21
2019-05-30 18:45:00+00:00,2019-05-30 19:45:00+00:00,long,1,2778.75,2787.0,35.3,TIME_EXIT,48,0.43791699075626866,0.07848161811242044,9.857142857142858,0.03
2019-06-04 18:40:00+00:00,2019-06-04 19:40:00+00:00,long,1,2792.5,2796.0,11.55,TIME_EXIT,48,0.4357308656042783,0.1486623409105916,8.928571428571429,0.04
2019-06-17 18:45:00+00:00,2019-06-17 19:45:00+00:00,long,1,2899.75,2896.25,-23.45,TIME_EXIT,48,0.4364517111039273,0.10651726407265039,10.642857142857142,0.06
2019-07-31 18:30:00+00:00,2019-07-31 18:40:00+00:00,long,1,3010.0,2998.0,-65.95,CATASTOP,48,0.43763586782547903,0.07615588475063267,13.5,0.77
2019-08-01 17:35:00+00:00,2019-08-01 17:40:00+00:00,long,1,2990.25,2972.0,-97.2,CATASTOP,48,0.44063934252399317,0.07962472305407864,13.785714285714286,0.82
2019-08-06 18:10:00+00:00,2019-08-06 19:10:00+00:00,long,1,2863.75,2873.25,41.55,TIME_EXIT,48,0.4352844616216476,0.08022475417765607,14.642857142857142,0.05
