entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score,confidence
2020-07-02 14:35:00+00:00,2020-07-02 15:10:00+00:00,long,1,3137.5,3125.0,-68.45,CATASTOP,48,0.4360939974463187,0.07018815349441215
2020-07-02 18:25:00+00:00,2020-07-02 19:25:00+00:00,long,1,3135.75,3134.75,-10.95,TIME_EXIT,48,0.43515512386105887,0.09142291683730325
2020-07-06 14:35:00+00:00,2020-07-06 15:35:00+00:00,long,1,3158.25,3171.0,57.8,TIME_EXIT,48,0.4359943943664753,0.05414217504402813
2020-07-06 18:45:00+00:00,2020-07-06 19:45:00+00:00,long,1,3161.5,3165.0,11.55,TIME_EXIT,48,0.4368207644227986,0.0923010732874997
2020-07-07 18:40:00+00:00,2020-07-07 19:40:00+00:00,long,1,3152.0,3145.25,-39.7,TIME_EXIT,48,0.4365583455560748,0.07073697689296088
2020-07-08 18:10:00+00:00,2020-07-08 19:10:00+00:00,long,1,3135.5,3152.25,77.8,TIME_EXIT,48,0.43513881864693554,0.06308829804630961
2020-07-09 15:10:00+00:00,2020-07-09 16:10:00+00:00,long,1,3115.25,3131.75,76.55,TIME_EXIT,48,0.43626052772176105,0.0732735334574115
2020-07-09 18:40:00+00:00,2020-07-09 19:40:00+00:00,long,1,3142.75,3136.5,-37.2,TIME_EXIT,48,0.43596692635596257,0.0730280574651016
2020-07-10 13:50:00+00:00,2020-07-10 14:00:00+00:00,long,1,3147.75,3129.75,-95.95,CATASTOP,48,0.4349406619678861,0.07568748586984736
2020-07-10 18:45:00+00:00,2020-07-10 19:45:00+00:00,long,1,3166.25,3172.5,25.3,TIME_EXIT,48,0.4353496061739518,0.12146268271810856
2020-07-13 18:05:00+00:00,2020-07-13 18:10:00+00:00,long,1,3219.0,3206.5,-68.45,CATASTOP,48,0.4363295685491883,0.12150305412391987
2020-07-14 18:40:00+00:00,2020-07-14 19:40:00+00:00,long,1,3171.25,3178.25,29.05,TIME_EXIT,48,0.4485458243582567,0.06560170218102329
2020-07-15 13:35:00+00:00,2020-07-15 14:35:00+00:00,long,1,3224.0,3226.25,5.3,TIME_EXIT,48,0.4423507448171704,0.05644583119301483
2020-07-15 14:40:00+00:00,2020-07-15 15:10:00+00:00,long,1,3226.75,3214.5,-67.2,CATASTOP,48,0.44655863395543244,0.08021684916676258
2020-07-15 16:05:00+00:00,2020-07-15 17:05:00+00:00,long,1,3196.75,3207.75,49.05,TIME_EXIT,48,0.443954400596614,0.08317115880660991
2020-07-15 18:20:00+00:00,2020-07-15 19:10:00+00:00,long,1,3216.75,3204.75,-65.95,CATASTOP,48,0.4433521963881944,0.0783460004847994
2020-07-16 18:40:00+00:00,2020-07-16 19:00:00+00:00,long,1,3203.75,3191.75,-65.95,CATASTOP,48,0.43846619084158983,0.0861472974919989
2020-07-22 18:45:00+00:00,2020-07-22 19:45:00+00:00,long,1,3257.0,3266.75,42.8,TIME_EXIT,48,0.4353308963970796,0.08034839752713668
2020-07-23 17:50:00+00:00,2020-07-23 18:10:00+00:00,long,1,3238.25,3224.25,-75.95,CATASTOP,48,0.4363678502860221,0.07713231607444959
2020-07-30 18:15:00+00:00,2020-07-30 19:15:00+00:00,long,1,3235.5,3236.25,-2.2,TIME_EXIT,48,0.43826923721587613,0.09041711272973307
2020-07-31 18:40:00+00:00,2020-07-31 19:40:00+00:00,long,1,3227.75,3247.0,90.3,TIME_EXIT,48,0.43490127951891866,0.06217014847726465
2020-08-07 18:15:00+00:00,2020-08-07 19:15:00+00:00,long,1,3330.25,3333.25,9.05,TIME_EXIT,48,0.4378517804970028,0.05972178148195201
2020-08-10 18:50:00+00:00,2020-08-10 19:50:00+00:00,long,1,3348.25,3350.25,4.05,TIME_EXIT,48,0.4377826036226484,0.09789255328001162
2020-08-11 18:30:00+00:00,2020-08-11 19:15:00+00:00,long,1,3364.5,3352.5,-65.95,CATASTOP,48,0.4368715731853123,0.08223270145888084
2020-08-12 13:35:00+00:00,2020-08-12 14:35:00+00:00,long,1,3358.0,3371.75,62.8,TIME_EXIT,48,0.44024748310119355,0.05422828765481352
2020-08-13 18:30:00+00:00,2020-08-13 19:30:00+00:00,long,1,3366.75,3369.25,6.55,TIME_EXIT,48,0.44006635227096014,0.07199481743227387
2020-08-14 18:50:00+00:00,2020-08-14 19:50:00+00:00,long,1,3366.25,3361.25,-30.95,TIME_EXIT,48,0.4361094889829299,0.10455364599066241
2020-08-19 18:35:00+00:00,2020-08-19 19:35:00+00:00,long,1,3379.25,3378.5,-9.7,TIME_EXIT,48,0.43550713705799154,0.07614832814271655
2020-08-27 17:00:00+00:00,2020-08-27 18:00:00+00:00,long,1,3472.25,3485.75,61.55,TIME_EXIT,48,0.43608413552512154,0.0866538922250758
2020-09-03 14:25:00+00:00,2020-09-03 14:40:00+00:00,long,1,3532.0,3519.75,-67.2,CATASTOP,48,0.4353976547923828,0.06832724170972188
2020-09-03 15:30:00+00:00,2020-09-03 16:30:00+00:00,long,1,3463.5,3474.5,49.05,TIME_EXIT,48,0.478296320985457,0.05979678781063785
2020-09-04 14:25:00+00:00,2020-09-04 14:35:00+00:00,long,1,3402.75,3381.0,-114.7,CATASTOP,48,0.47670095793220946,0.052392653515423604
2020-09-04 16:30:00+00:00,2020-09-04 16:35:00+00:00,short,1,3395.75,3407.75,-65.95,CATASTOP,48,0.5027480987866416,0.05565337256280095
2020-09-07 13:35:00+00:00,2020-09-07 14:35:00+00:00,long,1,3421.5,3432.5,49.05,TIME_EXIT,48,0.4467564326447087,0.06792762207628089
2020-09-08 13:35:00+00:00,2020-09-08 14:35:00+00:00,long,1,3355.0,3368.25,60.3,TIME_EXIT,48,0.45084574316218456,0.062412070773927464
2020-09-09 18:10:00+00:00,2020-09-09 19:10:00+00:00,long,1,3409.75,3420.0,45.3,TIME_EXIT,48,0.45509822818624407,0.0967619300879694
2020-09-10 14:10:00+00:00,2020-09-10 14:45:00+00:00,long,1,3423.25,3404.75,-98.45,CATASTOP,48,0.4361438214666574,0.07887067444572954
2020-09-10 15:20:00+00:00,2020-09-10 16:20:00+00:00,long,1,3398.5,3389.0,-53.45,TIME_EXIT,48,0.4384357054700346,0.059598063680750046
2020-09-10 16:30:00+00:00,2020-09-10 17:30:00+00:00,long,1,3386.25,3387.5,0.2999999999999998,TIME_EXIT,48,0.43862105217794345,0.0523058575833073
2020-09-10 18:20:00+00:00,2020-09-10 18:30:00+00:00,long,1,3368.75,3344.75,-125.95,CATASTOP,48,0.4557919696592473,0.05390391583284443
2020-09-14 18:50:00+00:00,2020-09-14 19:50:00+00:00,long,1,3375.25,3384.0,37.8,TIME_EXIT,48,0.4517726138957444,0.060520342464921884
2020-09-15 13:35:00+00:00,2020-09-15 14:35:00+00:00,long,1,3400.75,3406.25,21.55,TIME_EXIT,48,0.4371415169266154,0.06855665236583625
2020-09-15 18:15:00+00:00,2020-09-15 19:15:00+00:00,long,1,3395.75,3386.5,-52.2,TIME_EXIT,48,0.43851440886881166,0.08908724754751318
2020-09-16 18:10:00+00:00,2020-09-16 19:10:00+00:00,long,1,3401.75,3386.5,-82.2,CATASTOP,48,0.43557026602988125,0.07313434636769289
2020-09-17 13:35:00+00:00,2020-09-17 14:35:00+00:00,long,1,3321.25,3346.5,120.3,TIME_EXIT,48,0.47299863366787104,0.06953584585576128
2020-09-18 16:45:00+00:00,2020-09-18 17:30:00+00:00,long,1,3313.5,3284.5,-150.95,CATASTOP,48,0.4373800110602685,0.05824633013765812
2020-09-21 13:35:00+00:00,2020-09-21 13:40:00+00:00,long,1,3256.75,3239.5,-92.2,CATASTOP,48,0.44041199283532734,0.05901860221904753
2020-09-21 18:35:00+00:00,2020-09-21 19:35:00+00:00,long,1,3231.0,3253.0,104.05,TIME_EXIT,48,0.4556736194081431,0.051297874691430045
2020-09-22 14:20:00+00:00,2020-09-22 15:00:00+00:00,long,1,3283.75,3267.5,-87.2,CATASTOP,48,0.4353841714820046,0.07087420764905167
2020-09-22 15:30:00+00:00,2020-09-22 16:30:00+00:00,long,1,3271.25,3281.5,45.3,TIME_EXIT,48,0.4358147808324603,0.08144240429928612
2020-09-22 18:30:00+00:00,2020-09-22 19:30:00+00:00,long,1,3294.5,3300.75,25.3,TIME_EXIT,48,0.43976677411996096,0.08351645314442274
2020-09-23 18:00:00+00:00,2020-09-23 18:20:00+00:00,long,1,3267.75,3251.25,-88.45,CATASTOP,48,0.4369054053211096,0.06882699441273066
2020-09-24 18:05:00+00:00,2020-09-24 18:20:00+00:00,long,1,3258.75,3245.75,-70.95,CATASTOP,48,0.44952582657671014,0.07866815655023796
2020-09-25 18:35:00+00:00,2020-09-25 19:35:00+00:00,long,1,3275.25,3285.0,42.8,TIME_EXIT,48,0.4401525922758189,0.0845549519371877
2020-09-28 13:35:00+00:00,2020-09-28 14:35:00+00:00,long,1,3334.0,3342.5,36.55,TIME_EXIT,48,0.4413523985348092,0.06274823758588854
2020-09-28 14:40:00+00:00,2020-09-28 15:40:00+00:00,long,1,3342.75,3341.75,-10.95,TIME_EXIT,48,0.4527034832196072,0.07795952768992981
2020-09-28 18:40:00+00:00,2020-09-28 19:40:00+00:00,long,1,3346.0,3340.5,-33.45,TIME_EXIT,48,0.4427774196110711,0.11859201315577111
2020-09-30 18:30:00+00:00,2020-09-30 18:45:00+00:00,long,1,3366.25,3353.0,-72.2,CATASTOP,48,0.45035720945656815,0.0712100741770878
2020-10-01 13:35:00+00:00,2020-10-01 14:00:00+00:00,long,1,3376.25,3363.75,-68.45,CATASTOP,48,0.4456499055845903,0.05946160732399702
2020-10-01 18:05:00+00:00,2020-10-01 19:05:00+00:00,long,1,3361.75,3371.5,42.8,TIME_EXIT,48,0.44584348731948575,0.07011610065105184
2020-10-02 13:45:00+00:00,2020-10-02 14:45:00+00:00,long,1,3336.5,3338.25,2.8,TIME_EXIT,48,0.4380849823414197,0.050222017749075754
2020-10-02 17:45:00+00:00,2020-10-02 18:45:00+00:00,long,1,3343.25,3348.25,19.05,TIME_EXIT,48,0.4524059164440126,0.06327034457907027
2020-10-05 13:35:00+00:00,2020-10-05 14:35:00+00:00,long,1,3364.5,3382.0,81.55,TIME_EXIT,48,0.4365343836319441,0.07086219328431753
2020-10-05 18:45:00+00:00,2020-10-05 19:45:00+00:00,long,1,3385.5,3395.75,45.3,TIME_EXIT,48,0.4349463496991385,0.08375775277412412
2020-10-09 18:45:00+00:00,2020-10-09 19:45:00+00:00,long,1,3464.5,3463.75,-9.7,TIME_EXIT,48,0.4375025072820461,0.09301788563575303
2020-10-13 18:00:00+00:00,2020-10-13 18:30:00+00:00,long,1,3504.25,3492.0,-67.2,CATASTOP,48,0.4369930406814707,0.06018821825079823
2020-10-14 18:50:00+00:00,2020-10-14 19:50:00+00:00,long,1,3475.5,3489.25,62.8,TIME_EXIT,48,0.44653835739586634,0.05078356125177874
2020-10-15 18:30:00+00:00,2020-10-15 19:30:00+00:00,long,1,3468.25,3475.75,31.55,TIME_EXIT,48,0.4368631357970202,0.0851668253261908
2020-10-16 18:40:00+00:00,2020-10-16 19:40:00+00:00,long,1,3497.0,3484.25,-69.7,CATASTOP,48,0.43712805225847184,0.09520326591549205
2020-10-19 18:10:00+00:00,2020-10-19 18:45:00+00:00,long,1,3444.5,3430.0,-78.45,CATASTOP,48,0.4366492432653676,0.06415609904268443
2020-10-20 18:10:00+00:00,2020-10-20 19:10:00+00:00,long,1,3458.25,3435.25,-120.95,CATASTOP,48,0.4358537918809754,0.0840405662271817
2020-10-21 13:50:00+00:00,2020-10-21 14:50:00+00:00,long,1,3448.75,3444.5,-27.2,TIME_EXIT,48,0.44169903530288623,0.056335287977826054
2020-10-21 17:00:00+00:00,2020-10-21 18:00:00+00:00,long,1,3425.75,3438.75,59.05,TIME_EXIT,48,0.4424116460565292,0.05040264368668074
2020-10-21 18:20:00+00:00,2020-10-21 19:20:00+00:00,long,1,3441.75,3442.25,-3.45,TIME_EXIT,48,0.4403504494244033,0.05310295813268634
2020-10-22 18:15:00+00:00,2020-10-22 19:15:00+00:00,long,1,3443.75,3442.5,-12.2,TIME_EXIT,48,0.4388858334964446,0.07685588058190918
2020-10-23 18:50:00+00:00,2020-10-23 19:50:00+00:00,long,1,3447.75,3455.75,34.05,TIME_EXIT,48,0.4367779212519683,0.09246831827245966
2020-10-27 14:15:00+00:00,2020-10-27 14:20:00+00:00,long,1,3399.5,3387.25,-67.2,CATASTOP,48,0.43508154615442424,0.06812891037545865
2020-10-27 17:45:00+00:00,2020-10-27 18:45:00+00:00,long,1,3398.0,3384.25,-74.7,CATASTOP,48,0.43526700523274137,0.07691523098201425
2020-10-27 18:50:00+00:00,2020-10-27 19:50:00+00:00,long,1,3384.25,3385.5,0.2999999999999998,TIME_EXIT,48,0.45267154325909376,0.07500179128071321
2020-10-28 13:35:00+00:00,2020-10-28 14:05:00+00:00,long,1,3321.5,3302.75,-99.7,CATASTOP,48,0.4424613575904763,0.06202935402191573
2020-10-29 13:45:00+00:00,2020-10-29 14:45:00+00:00,long,1,3253.25,3294.75,201.55,TIME_EXIT,48,0.43776849710152416,0.05299741513898387
2020-10-29 18:35:00+00:00,2020-10-29 19:15:00+00:00,long,1,3327.5,3313.5,-75.95,CATASTOP,48,0.4396592059375956,0.06310076688924304
2020-10-30 13:35:00+00:00,2020-10-30 13:50:00+00:00,long,1,3284.5,3271.0,-73.45,CATASTOP,48,0.43613556189040437,0.0717214797693555
2020-10-30 14:40:00+00:00,2020-10-30 14:50:00+00:00,long,1,3248.75,3235.5,-72.2,CATASTOP,48,0.4532404969842729,0.050151009797291146
2020-11-02 15:35:00+00:00,2020-11-02 16:05:00+00:00,long,1,3314.5,3301.0,-73.45,CATASTOP,48,0.4569247022017187,0.05892923938338723
2020-11-02 18:45:00+00:00,2020-11-02 19:45:00+00:00,long,1,3283.5,3299.5,74.05,TIME_EXIT,48,0.451780363288667,0.07505965145414262
2020-11-03 14:35:00+00:00,2020-11-03 15:35:00+00:00,long,1,3337.75,3369.0,150.3,TIME_EXIT,48,0.44501160654765004,0.057173549431843496
2020-11-03 18:40:00+00:00,2020-11-03 19:40:00+00:00,long,1,3362.75,3362.75,-5.95,TIME_EXIT,48,0.4384261197474837,0.0805262819406411
2020-11-03 19:45:00+00:00,2020-11-03 20:45:00+00:00,long,1,3363.25,3373.25,44.05,TIME_EXIT,48,0.4562471702857987,0.0763635016893166
2020-11-04 14:35:00+00:00,2020-11-04 15:35:00+00:00,long,1,3414.25,3448.0,162.8,TIME_EXIT,48,0.4409129735094648,0.050188898850811625
2020-11-04 18:25:00+00:00,2020-11-04 19:25:00+00:00,long,1,3460.75,3460.25,-8.45,TIME_EXIT,48,0.45510856672834177,0.0892346956451418
2020-11-04 19:30:00+00:00,2020-11-04 20:05:00+00:00,long,1,3460.5,3444.25,-87.2,CATASTOP,48,0.4753003825740722,0.09450274324127117
2020-11-05 15:35:00+00:00,2020-11-05 16:35:00+00:00,long,1,3511.0,3511.0,-5.95,TIME_EXIT,48,0.45478264161999726,0.05829203328298249
