entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score
2022-05-09 13:45:00+00:00,2022-05-09 14:45:00+00:00,short,1,4060.0,4031.75,135.3,TIME_EXIT,72,0.5509471743602968
2022-05-10 13:40:00+00:00,2022-05-10 14:40:00+00:00,short,1,4046.25,4008.75,181.55,TIME_EXIT,72,0.5631770328185033
2022-05-11 18:50:00+00:00,2022-05-11 19:50:00+00:00,short,1,3980.5,3927.0,261.55,TIME_EXIT,72,0.545546525104468
2022-05-13 13:50:00+00:00,2022-05-13 14:50:00+00:00,long,1,3977.0,4006.25,140.3,TIME_EXIT,72,0.5584262005337788
2022-05-13 14:55:00+00:00,2022-05-13 15:55:00+00:00,long,1,4006.5,4019.0,56.55,TIME_EXIT,72,0.6010227745917003
2022-05-17 16:30:00+00:00,2022-05-17 17:30:00+00:00,long,1,4061.75,4071.0,40.3,TIME_EXIT,72,0.5574959908623266
2022-05-17 17:45:00+00:00,2022-05-17 18:20:00+00:00,long,1,4071.5,4049.0,-118.45,CATASTOP,70,0.5729939766391654
2022-05-18 18:25:00+00:00,2022-05-18 19:25:00+00:00,short,1,3935.25,3912.0,110.3,TIME_EXIT,72,0.5432234584339353
2022-05-23 14:25:00+00:00,2022-05-23 15:25:00+00:00,long,1,3928.0,3961.0,159.05,TIME_EXIT,72,0.5534506660083347
2022-05-23 16:45:00+00:00,2022-05-23 17:45:00+00:00,short,1,3968.75,3963.5,20.3,TIME_EXIT,72,0.5627794904225433
2022-05-26 13:40:00+00:00,2022-05-26 14:40:00+00:00,long,1,4008.0,4037.5,141.55,TIME_EXIT,72,0.5815475006529942
2022-05-26 14:45:00+00:00,2022-05-26 15:45:00+00:00,long,1,4037.75,4044.25,26.55,TIME_EXIT,72,0.5552356395426419
2022-05-27 13:35:00+00:00,2022-05-27 14:35:00+00:00,long,1,4086.75,4122.25,171.55,TIME_EXIT,72,0.6335862313367415
2022-05-27 14:40:00+00:00,2022-05-27 15:40:00+00:00,long,1,4122.25,4122.5,-4.7,TIME_EXIT,72,0.5795406560300921
2022-05-30 13:35:00+00:00,2022-05-30 14:35:00+00:00,long,1,4169.5,4172.0,6.55,TIME_EXIT,72,0.6127934614479693
2022-05-30 14:40:00+00:00,2022-05-30 15:40:00+00:00,long,1,4172.25,4183.0,47.8,TIME_EXIT,65,0.6222608902404119
2022-05-31 13:40:00+00:00,2022-05-31 14:40:00+00:00,short,1,4118.75,4129.5,-59.7,TIME_EXIT,72,0.6018404053671823
2022-06-02 16:25:00+00:00,2022-06-02 17:25:00+00:00,long,1,4135.5,4146.25,47.8,TIME_EXIT,72,0.5525616683553916
2022-06-02 17:30:00+00:00,2022-06-02 18:30:00+00:00,long,1,4146.25,4156.0,42.8,TIME_EXIT,72,0.5881331564366449
2022-06-07 17:15:00+00:00,2022-06-07 18:15:00+00:00,long,1,4134.0,4148.0,64.05,TIME_EXIT,72,0.5779928272845831
2022-06-07 18:20:00+00:00,2022-06-07 19:20:00+00:00,long,1,4148.25,4148.75,-3.45,TIME_EXIT,68,0.5526399119665262
2022-06-08 17:45:00+00:00,2022-06-08 18:45:00+00:00,short,1,4111.25,4118.0,-39.7,TIME_EXIT,72,0.5413269141274052
2022-06-10 13:45:00+00:00,2022-06-10 14:45:00+00:00,short,1,3946.75,3921.75,119.05,TIME_EXIT,72,0.5543207314262458
2022-06-10 15:30:00+00:00,2022-06-10 16:30:00+00:00,long,1,3903.5,3910.25,27.8,TIME_EXIT,72,0.5973593815542675
2022-06-13 14:00:00+00:00,2022-06-13 15:00:00+00:00,short,1,3800.25,3761.0,190.3,TIME_EXIT,72,0.5653586398108676
2022-06-13 15:15:00+00:00,2022-06-13 16:15:00+00:00,long,1,3751.0,3795.0,214.05,TIME_EXIT,72,0.5623516927014955
2022-06-15 15:50:00+00:00,2022-06-15 16:50:00+00:00,long,1,3774.75,3774.0,-9.7,TIME_EXIT,72,0.5516724195995223
2022-06-15 16:55:00+00:00,2022-06-15 17:55:00+00:00,long,1,3774.5,3781.25,27.8,TIME_EXIT,70,0.5795877965939239
2022-06-16 16:25:00+00:00,2022-06-16 17:25:00+00:00,long,1,3669.75,3673.75,14.05,TIME_EXIT,72,0.5693776535937822
2022-06-20 13:35:00+00:00,2022-06-20 14:35:00+00:00,long,1,3704.25,3708.0,12.8,TIME_EXIT,72,0.5619095531750344
2022-06-20 14:40:00+00:00,2022-06-20 15:40:00+00:00,long,1,3708.5,3713.25,17.8,TIME_EXIT,72,0.6355293112300966
2022-06-21 13:35:00+00:00,2022-06-21 14:35:00+00:00,long,1,3739.0,3771.5,156.55,TIME_EXIT,60,0.5891852972927756
2022-06-21 16:30:00+00:00,2022-06-21 17:30:00+00:00,long,1,3766.75,3773.25,26.55,TIME_EXIT,72,0.5657170769801023
2022-06-22 17:30:00+00:00,2022-06-22 18:30:00+00:00,long,1,3790.0,3792.5,6.55,TIME_EXIT,72,0.5483321737091444
2022-06-24 13:40:00+00:00,2022-06-24 14:40:00+00:00,long,1,3844.75,3878.0,160.3,TIME_EXIT,72,0.5592335757128324
2022-06-24 14:45:00+00:00,2022-06-24 15:45:00+00:00,long,1,3878.5,3886.75,35.3,TIME_EXIT,72,0.6257156462710035
2022-06-27 13:35:00+00:00,2022-06-27 13:35:00+00:00,long,1,3930.0,3910.75,-102.2,CATASTOP,70,0.5615815978033469
2022-06-28 13:35:00+00:00,2022-06-28 14:30:00+00:00,long,1,3926.75,3908.75,-95.95,CATASTOP,72,0.5846081468539265
2022-06-28 18:50:00+00:00,2022-06-28 19:50:00+00:00,short,1,3830.25,3825.75,16.55,TIME_EXIT,72,0.5502553335545083
2022-06-30 13:45:00+00:00,2022-06-30 14:45:00+00:00,short,1,3758.75,3755.5,10.3,TIME_EXIT,72,0.5544787878678167
2022-07-01 18:25:00+00:00,2022-07-01 19:25:00+00:00,long,1,3803.25,3816.75,61.55,TIME_EXIT,72,0.5444541210490611
2022-07-04 14:10:00+00:00,2022-07-04 15:10:00+00:00,long,1,3811.5,3815.0,11.55,TIME_EXIT,69,0.5702283282675004
2022-07-04 16:20:00+00:00,2022-07-05 13:45:00+00:00,short,1,3813.25,3760.25,259.05,TIME_EXIT,29,0.5524893099621715
2022-07-05 13:50:00+00:00,2022-07-05 14:50:00+00:00,short,1,3759.75,3757.75,4.05,TIME_EXIT,72,0.5674848708621166
2022-07-05 18:20:00+00:00,2022-07-05 19:20:00+00:00,long,1,3793.25,3817.75,116.55,TIME_EXIT,72,0.5508817119304734
2022-07-06 17:00:00+00:00,2022-07-06 18:00:00+00:00,long,1,3823.25,3829.75,26.55,TIME_EXIT,72,0.5482537160440097
2022-07-07 13:35:00+00:00,2022-07-07 14:35:00+00:00,long,1,3874.75,3887.25,56.55,TIME_EXIT,72,0.6066562094069622
2022-07-07 14:40:00+00:00,2022-07-07 15:40:00+00:00,long,1,3887.75,3891.0,10.3,TIME_EXIT,72,0.5824499502669742
2022-07-08 15:40:00+00:00,2022-07-08 16:25:00+00:00,long,1,3918.5,3900.25,-97.2,CATASTOP,72,0.5614807239037264
2022-07-11 16:15:00+00:00,2022-07-11 17:15:00+00:00,long,1,3861.75,3873.25,51.55,TIME_EXIT,72,0.5515426546449946
2022-07-12 13:35:00+00:00,2022-07-12 14:35:00+00:00,long,1,3856.75,3852.75,-25.95,TIME_EXIT,72,0.5604096065986213
2022-07-14 13:35:00+00:00,2022-07-14 14:35:00+00:00,short,1,3757.25,3731.5,122.8,TIME_EXIT,72,0.5647719580209143
2022-07-14 18:10:00+00:00,2022-07-14 19:10:00+00:00,long,1,3774.75,3786.0,50.3,TIME_EXIT,72,0.5596739946669137
2022-07-15 14:20:00+00:00,2022-07-15 15:20:00+00:00,long,1,3841.25,3862.5,100.3,TIME_EXIT,72,0.5560321700247304
2022-07-15 15:25:00+00:00,2022-07-15 16:25:00+00:00,short,1,3862.5,3853.25,40.3,TIME_EXIT,72,0.552969286647003
2022-07-18 16:40:00+00:00,2022-07-18 17:20:00+00:00,long,1,3894.0,3881.5,-68.45,CATASTOP,47,0.5481112635892944
2022-07-18 18:20:00+00:00,2022-07-18 19:20:00+00:00,short,1,3862.5,3851.75,47.8,TIME_EXIT,72,0.5511986041279122
2022-07-19 14:30:00+00:00,2022-07-19 15:30:00+00:00,long,1,3890.75,3910.0,90.3,TIME_EXIT,72,0.5740736935913848
2022-07-19 15:45:00+00:00,2022-07-19 16:45:00+00:00,long,1,3906.75,3918.25,51.55,TIME_EXIT,67,0.55546854155015
2022-07-20 13:40:00+00:00,2022-07-20 14:40:00+00:00,long,1,3939.25,3956.5,80.3,TIME_EXIT,72,0.5507139613348075
2022-07-20 14:50:00+00:00,2022-07-20 15:50:00+00:00,long,1,3958.25,3969.25,49.05,TIME_EXIT,72,0.56557750567844
2022-07-21 16:20:00+00:00,2022-07-21 17:20:00+00:00,long,1,3978.0,3985.0,29.05,TIME_EXIT,72,0.5518745829121627
2022-07-21 17:25:00+00:00,2022-07-21 18:25:00+00:00,long,1,3985.25,3986.5,0.2999999999999998,TIME_EXIT,70,0.5719433214137715
2022-07-22 13:35:00+00:00,2022-07-22 14:35:00+00:00,long,1,4006.5,3995.75,-59.7,TIME_EXIT,72,0.5976617360499047
2022-07-26 15:40:00+00:00,2022-07-26 16:40:00+00:00,long,1,3928.0,3924.0,-25.95,TIME_EXIT,72,0.5525855896093149
2022-07-26 16:45:00+00:00,2022-07-26 17:45:00+00:00,long,1,3924.5,3929.25,17.8,TIME_EXIT,71,0.5695073004071654
2022-07-27 13:35:00+00:00,2022-07-27 14:35:00+00:00,long,1,3960.25,3970.0,42.8,TIME_EXIT,72,0.5685501121860291
2022-07-27 14:40:00+00:00,2022-07-27 15:40:00+00:00,long,1,3970.0,3977.75,32.8,TIME_EXIT,72,0.6096505097605419
2022-07-28 16:15:00+00:00,2022-07-28 17:15:00+00:00,long,1,4052.75,4058.0,20.3,TIME_EXIT,72,0.5558787411804711
2022-07-28 17:20:00+00:00,2022-07-28 18:20:00+00:00,long,1,4058.5,4070.75,55.3,TIME_EXIT,72,0.5706409132183032
2022-07-29 13:35:00+00:00,2022-07-29 14:35:00+00:00,long,1,4089.5,4115.25,122.8,TIME_EXIT,72,0.5630116250536915
2022-07-29 16:20:00+00:00,2022-07-29 17:20:00+00:00,long,1,4107.75,4117.25,41.55,TIME_EXIT,72,0.5573891155821261
2022-08-02 16:20:00+00:00,2022-08-02 17:20:00+00:00,long,1,4130.25,4133.75,11.55,TIME_EXIT,72,0.5795386307994826
2022-08-02 17:25:00+00:00,2022-08-02 17:30:00+00:00,long,1,4133.75,4115.0,-99.7,CATASTOP,62,0.5530645346838401
2022-08-03 15:40:00+00:00,2022-08-03 16:40:00+00:00,long,1,4140.5,4153.0,56.55,TIME_EXIT,72,0.5600582186748508
2022-08-03 16:45:00+00:00,2022-08-03 17:45:00+00:00,long,1,4153.5,4156.0,6.55,TIME_EXIT,69,0.5695830081754354
2022-08-04 17:00:00+00:00,2022-08-04 18:00:00+00:00,long,1,4143.75,4153.25,41.55,TIME_EXIT,72,0.5455440868107089
2022-08-05 16:40:00+00:00,2022-08-05 17:40:00+00:00,long,1,4123.25,4145.25,104.05,TIME_EXIT,72,0.5454670216482786
2022-08-08 13:35:00+00:00,2022-08-08 14:35:00+00:00,long,1,4165.25,4176.25,49.05,TIME_EXIT,72,0.593307575209176
2022-08-08 14:50:00+00:00,2022-08-08 15:40:00+00:00,long,1,4183.25,4158.25,-130.95,CATASTOP,72,0.5594522859544968
2022-08-09 16:35:00+00:00,2022-08-09 17:35:00+00:00,long,1,4117.5,4120.25,7.8,TIME_EXIT,69,0.5616924146962071
2022-08-10 13:50:00+00:00,2022-08-10 14:50:00+00:00,long,1,4197.0,4198.25,0.2999999999999998,TIME_EXIT,72,0.5696227763951464
2022-08-10 14:55:00+00:00,2022-08-10 15:55:00+00:00,long,1,4198.25,4207.25,39.05,TIME_EXIT,72,0.573167316312667
2022-08-11 13:35:00+00:00,2022-08-11 14:35:00+00:00,long,1,4240.75,4256.0,70.3,TIME_EXIT,72,0.5830863707058437
2022-08-12 15:25:00+00:00,2022-08-12 16:25:00+00:00,long,1,4246.75,4252.5,22.8,TIME_EXIT,72,0.5666183700769707
2022-08-12 16:40:00+00:00,2022-08-12 17:40:00+00:00,long,1,4253.0,4257.0,14.05,TIME_EXIT,43,0.5613778881777458
2022-08-15 13:35:00+00:00,2022-08-15 14:35:00+00:00,long,1,4262.25,4274.75,56.55,TIME_EXIT,63,0.5509685334976067
2022-08-15 15:50:00+00:00,2022-08-15 16:50:00+00:00,long,1,4287.25,4296.75,41.55,TIME_EXIT,68,0.5545172477962949
2022-08-16 13:40:00+00:00,2022-08-16 14:40:00+00:00,short,1,4295.5,4281.5,64.05,TIME_EXIT,60,0.550153186856758
2022-08-16 16:30:00+00:00,2022-08-16 17:30:00+00:00,long,1,4312.25,4313.5,0.2999999999999998,TIME_EXIT,51,0.5550254683116849
2022-08-17 15:35:00+00:00,2022-08-17 16:35:00+00:00,long,1,4272.0,4272.75,-2.2,TIME_EXIT,72,0.5503706011178026
2022-08-18 16:40:00+00:00,2022-08-18 17:40:00+00:00,long,1,4274.0,4282.0,34.05,TIME_EXIT,62,0.5414230351246743
2022-08-19 14:00:00+00:00,2022-08-19 15:00:00+00:00,short,1,4237.5,4234.75,7.8,TIME_EXIT,72,0.5642120915163694
2022-08-19 15:45:00+00:00,2022-08-19 16:45:00+00:00,long,1,4233.0,4244.0,49.05,TIME_EXIT,66,0.5551696535316313
2022-08-22 15:20:00+00:00,2022-08-22 16:20:00+00:00,short,1,4159.0,4162.25,-22.2,TIME_EXIT,72,0.5634852964082364
2022-08-22 18:50:00+00:00,2022-08-22 19:50:00+00:00,long,1,4135.0,4140.75,22.8,TIME_EXIT,45,0.5671826913401585
2022-08-23 16:20:00+00:00,2022-08-23 17:20:00+00:00,long,1,4133.25,4137.25,14.05,TIME_EXIT,72,0.5505720256398523
2022-08-24 15:20:00+00:00,2022-08-24 16:20:00+00:00,long,1,4150.5,4153.25,7.8,TIME_EXIT,72,0.5579939076561685
2022-08-25 14:00:00+00:00,2022-08-25 15:00:00+00:00,long,1,4165.25,4176.5,50.3,TIME_EXIT,72,0.5705674235739584
2022-08-25 15:05:00+00:00,2022-08-25 16:05:00+00:00,short,1,4176.25,4166.75,41.55,TIME_EXIT,72,0.5753739722145661
2022-08-26 13:35:00+00:00,2022-08-26 14:05:00+00:00,long,1,4198.25,4163.25,-180.95,CATASTOP,64,0.5620039529544567
2022-08-26 16:50:00+00:00,2022-08-26 17:50:00+00:00,short,1,4104.0,4096.75,30.3,TIME_EXIT,72,0.5655815401694346
2022-08-29 17:50:00+00:00,2022-08-29 18:20:00+00:00,long,1,4063.75,4043.75,-105.95,CATASTOP,72,0.5396109444753105
2022-08-31 17:10:00+00:00,2022-08-31 18:10:00+00:00,long,1,3980.5,3974.0,-38.45,TIME_EXIT,72,0.5442260553058189
2022-09-02 14:20:00+00:00,2022-09-02 15:20:00+00:00,long,1,3999.0,4013.5,66.55,TIME_EXIT,72,0.5698042534750104
2022-09-02 15:40:00+00:00,2022-09-02 16:40:00+00:00,short,1,4012.75,3978.5,165.3,TIME_EXIT,72,0.5551260024113935
2022-09-05 16:20:00+00:00,2022-09-06 13:45:00+00:00,short,1,3938.0,3925.5,56.55,TIME_EXIT,25,0.5645831650800314
2022-09-07 15:55:00+00:00,2022-09-07 16:55:00+00:00,long,1,3944.0,3948.0,14.05,TIME_EXIT,72,0.5538984054229579
2022-09-07 17:00:00+00:00,2022-09-07 18:00:00+00:00,long,1,3948.25,3967.5,90.3,TIME_EXIT,72,0.5575964451231996
2022-09-08 14:40:00+00:00,2022-09-08 15:40:00+00:00,long,1,3987.0,3997.75,47.8,TIME_EXIT,72,0.5851889213051421
2022-09-09 14:05:00+00:00,2022-09-09 15:05:00+00:00,long,1,4046.25,4059.25,59.05,TIME_EXIT,72,0.5707475861562993
2022-09-09 15:15:00+00:00,2022-09-09 16:15:00+00:00,long,1,4055.0,4051.25,-24.7,TIME_EXIT,72,0.5512824112202841
2022-09-12 13:35:00+00:00,2022-09-12 14:35:00+00:00,long,1,4109.5,4132.0,106.55,TIME_EXIT,72,0.5886109738850901
2022-09-12 14:40:00+00:00,2022-09-12 15:40:00+00:00,short,1,4131.5,4127.75,12.8,TIME_EXIT,72,0.5579798381590657
