combo,window,meta_threshold,primary_long,primary_short,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
m0.45_L0.33_S0.48,feb_2026_followthrough,0.45,0.33,0.48,41,410.0148347094026,485.71034487869474,1.2028377516779865,0.5609756097560976,True
m0.45_L0.33_S0.48,mar_2026_extension,0.45,0.33,0.48,36,-313.7537584226775,966.3944821199184,0.8969125273871426,0.4722222222222222,True
m0.45_L0.33_S0.48,apr_2026_partial,0.45,0.33,0.48,13,1229.014377343852,210.57191033322306,3.4404322852266986,0.6153846153846154,True
m0.45_L0.33_S0.53,dec_2025_bull,0.45,0.33,0.53,21,599.874706142589,554.9442652194048,1.5951802259504706,0.5238095238095238,True
m0.45_L0.33_S0.53,jan_2026_regime_shift,0.45,0.33,0.53,39,1002.5564792300679,231.73966375180316,1.8993885616193964,0.5897435897435898,True
m0.45_L0.33_S0.53,feb_2026_followthrough,0.45,0.33,0.53,40,118.54515112595902,707.2401419015805,1.055597984658837,0.525,True
m0.45_L0.33_S0.53,mar_2026_extension,0.45,0.33,0.53,33,-45.21467515435617,966.3944821199184,0.9824881411883837,0.48484848484848486,True
m0.45_L0.33_S0.53,apr_2026_partial,0.45,0.33,0.53,12,1336.5438791925344,196.4006436413183,4.374465794467916,0.6666666666666666,True
m0.45_L0.38_S0.43,dec_2025_bull,0.45,0.38,0.43,26,-585.4291434494492,906.4785798536905,0.6943648680561367,0.5,True
m0.45_L0.38_S0.43,jan_2026_regime_shift,0.45,0.38,0.43,43,448.8434212922391,557.6330468240703,1.281875719012541,0.5581395348837209,True
m0.45_L0.38_S0.43,feb_2026_followthrough,0.45,0.38,0.43,43,732.3960417061686,482.2950515247867,1.3710369460636476,0.5581395348837209,True
m0.45_L0.38_S0.43,mar_2026_extension,0.45,0.38,0.43,40,-521.8561333445223,911.7639478046549,0.8380066478893191,0.475,True
m0.45_L0.38_S0.43,apr_2026_partial,0.45,0.38,0.43,14,1140.7987075152218,299.5524670327868,2.9014330393759105,0.5714285714285714,True
m0.45_L0.38_S0.48,dec_2025_bull,0.45,0.38,0.48,21,-573.5844659321058,922.3477687482373,0.6574856326316298,0.47619047619047616,True
m0.45_L0.38_S0.48,jan_2026_regime_shift,0.45,0.38,0.48,41,460.821209535805,531.3830468240703,1.317830900135981,0.5609756097560976,True
m0.45_L0.38_S0.48,feb_2026_followthrough,0.45,0.38,0.48,41,932.8203546811553,414.7828758200849,1.5259793256633711,0.5853658536585366,True
m0.45_L0.38_S0.48,mar_2026_extension,0.45,0.38,0.48,34,-149.97205861150758,907.9732034305343,0.9471113440987352,0.47058823529411764,True
m0.45_L0.38_S0.48,apr_2026_partial,0.45,0.38,0.48,12,1340.203778680855,196.4006436413183,4.3458020144896405,0.6666666666666666,True
m0.45_L0.38_S0.53,dec_2025_bull,0.45,0.38,0.53,17,101.61038618369895,554.9442652194048,1.1187844171981516,0.5294117647058824,True
m0.45_L0.38_S0.53,jan_2026_regime_shift,0.45,0.38,0.53,37,573.7691371550883,459.33055977345794,1.4788580233935924,0.5675675675675675,True
m0.45_L0.38_S0.53,feb_2026_followthrough,0.45,0.38,0.53,39,531.3406710977118,558.0640810232289,1.2819855036408743,0.5384615384615384,True
