combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.45_L0.43_S0.58_rm0,0.45,0.43,0.58,False,1,3775.7357341260695,3775.7357341260695,933.3444297313108,125,125.0,4.04538304815621
m0.45_L0.43_S0.58_rm1,0.45,0.43,0.58,True,1,5364.537581792064,5364.537581792064,24.989999999997963,30,30.0,214.66737021978795
m0.45_L0.43_S0.63_rm0,0.45,0.43,0.63,False,1,3456.7596601162486,3456.7596601162486,790.1630073540073,105,105.0,4.374742461927932
m0.45_L0.43_S0.63_rm1,0.45,0.43,0.63,True,1,4945.997086121408,4945.997086121408,24.989999999997963,26,26.0,197.91905106529856
m0.45_L0.48_S0.43_rm0,0.45,0.48,0.43,False,1,5554.528190781335,5554.528190781335,883.9081245529524,160,160.0,6.284056042126106
m0.45_L0.48_S0.43_rm1,0.45,0.48,0.43,True,1,7092.075068735165,7092.075068735165,24.989999999997963,41,41.0,283.7965213579729
m0.45_L0.48_S0.48_rm0,0.45,0.48,0.48,False,1,1698.961271210137,1698.961271210137,1180.2437486244016,107,107.0,1.4395003347319666
m0.45_L0.48_S0.48_rm1,0.45,0.48,0.48,True,1,7092.075068735165,7092.075068735165,24.989999999997963,41,41.0,283.7965213579729
m0.45_L0.48_S0.53_rm0,0.45,0.48,0.53,False,1,4686.383809831914,4686.383809831914,1028.0939505764254,132,132.0,4.558322522182317
m0.45_L0.48_S0.53_rm1,0.45,0.48,0.53,True,1,6333.287144552401,6333.287144552401,24.989999999997963,36,36.0,253.43285892568696
m0.45_L0.48_S0.58_rm0,0.45,0.48,0.58,False,1,3912.4282293617134,3912.4282293617134,865.354568429444,120,120.0,4.5211851558864335
m0.45_L0.48_S0.58_rm1,0.45,0.48,0.58,True,1,5364.537581792064,5364.537581792064,24.989999999997963,30,30.0,214.66737021978795
m0.45_L0.48_S0.63_rm0,0.45,0.48,0.63,False,1,3594.4964186440575,3594.4964186440575,720.0738219510458,98,98.0,4.991844320773585
