entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,exit_reason,duration_minutes
2026-01-16 14:40:00+00:00,2026-01-16 14:55:00+00:00,LONG,1,6990.5,6984.0,-36.24,stop,15.0
2026-01-16 15:00:00+00:00,2026-01-16 15:35:00+00:00,SHORT,1,6980.5,6965.5,71.26,target,35.0
2026-01-16 15:45:00+00:00,2026-01-16 16:05:00+00:00,SHORT,1,6971.25,6983.25,-63.74,stop,20.0
2026-01-18 23:00:00+00:00,2026-01-19 07:05:00+00:00,SHORT,1,6928.75,6911.0,85.01,target,485.0
2026-01-19 08:15:00+00:00,2026-01-19 08:35:00+00:00,SHORT,1,6917.5,6924.25,-37.49,stop,20.0
2026-01-19 08:40:00+00:00,2026-01-19 09:15:00+00:00,SHORT,1,6917.25,6905.0,57.51,target,35.0
2026-01-19 09:20:00+00:00,2026-01-19 14:35:00+00:00,SHORT,1,6902.5,6889.5,61.26,target,315.0
2026-01-19 14:40:00+00:00,2026-01-19 14:50:00+00:00,SHORT,1,6889.25,6894.5,-29.990000000000002,stop,10.0
2026-01-19 14:55:00+00:00,2026-01-19 16:05:00+00:00,SHORT,1,6900.0,6906.25,-34.99,stop,70.0
2026-01-20 00:40:00+00:00,2026-01-20 06:05:00+00:00,SHORT,1,6909.25,6900.0,42.51,target,325.0
2026-01-20 06:10:00+00:00,2026-01-20 06:15:00+00:00,SHORT,1,6899.25,6892.25,31.259999999999998,target,5.0
2026-01-20 06:20:00+00:00,2026-01-20 06:30:00+00:00,SHORT,1,6891.5,6883.75,35.01,target,10.0
2026-01-20 07:30:00+00:00,2026-01-20 08:30:00+00:00,SHORT,1,6881.25,6867.5,65.01,target,60.0
2026-01-20 10:20:00+00:00,2026-01-20 11:25:00+00:00,SHORT,1,6864.0,6872.5,-46.24,stop,65.0
2026-01-20 11:30:00+00:00,2026-01-20 11:55:00+00:00,SHORT,1,6866.5,6874.0,-41.24,stop,25.0
2026-01-20 12:05:00+00:00,2026-01-20 12:40:00+00:00,SHORT,1,6872.75,6880.75,-43.74,stop,35.0
2026-01-20 12:55:00+00:00,2026-01-20 13:30:00+00:00,SHORT,1,6880.75,6867.75,61.26,target,35.0
2026-01-20 13:35:00+00:00,2026-01-20 14:30:00+00:00,SHORT,1,6868.5,6877.75,-49.99,stop,55.0
2026-01-20 14:35:00+00:00,2026-01-20 15:25:00+00:00,SHORT,1,6881.75,6893.25,-61.24,stop,50.0
2026-01-20 15:30:00+00:00,2026-01-20 17:35:00+00:00,SHORT,1,6902.25,6871.25,151.26,target,125.0
2026-01-20 18:10:00+00:00,2026-01-20 18:35:00+00:00,SHORT,1,6868.0,6851.0,81.26,target,25.0
2026-01-20 19:00:00+00:00,2026-01-20 20:10:00+00:00,SHORT,1,6843.75,6828.25,73.76,target,70.0
2026-01-20 20:15:00+00:00,2026-01-20 23:00:00+00:00,SHORT,1,6832.25,6842.25,-53.74,stop,165.0
2026-01-21 01:15:00+00:00,2026-01-21 02:30:00+00:00,SHORT,1,6848.75,6843.5,22.509999999999998,target,75.0
2026-01-21 02:35:00+00:00,2026-01-21 03:00:00+00:00,SHORT,1,6843.75,6847.0,-19.990000000000002,stop,25.0
2026-01-21 03:15:00+00:00,2026-01-21 04:15:00+00:00,SHORT,1,6853.0,6846.25,30.009999999999998,target,60.0
2026-01-21 10:55:00+00:00,2026-01-21 11:40:00+00:00,SHORT,1,6842.25,6833.0,42.51,target,45.0
2026-01-21 12:50:00+00:00,2026-01-21 13:55:00+00:00,SHORT,1,6822.75,6830.5,-42.49,stop,65.0
2026-01-21 14:00:00+00:00,2026-01-21 14:05:00+00:00,SHORT,1,6835.0,6844.25,-49.99,stop,5.0
2026-01-21 14:10:00+00:00,2026-01-21 14:45:00+00:00,SHORT,1,6854.0,6866.5,-66.24,stop,35.0
