combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.31_S0.58_rm0,0.35,0.31,0.58,False,1,3143.294039501685,3143.294039501685,897.6808816623961,50,50.0,3.501571776465469
m0.35_L0.31_S0.58_rm1,0.35,0.31,0.58,True,1,3338.069137436475,3338.069137436475,49.9800000000032,14,14.0,66.7880979879204
m0.35_L0.31_S0.63_rm0,0.35,0.31,0.63,False,1,3126.7991327715995,3126.7991327715995,863.6126811324648,52,52.0,3.620603542633711
m0.35_L0.31_S0.63_rm1,0.35,0.31,0.63,True,1,3013.430547126192,3013.430547126192,49.9800000000032,13,13.0,60.29272803373347
m0.35_L0.33_S0.43_rm0,0.35,0.33,0.43,False,1,3186.9632616485474,3186.9632616485474,881.6591644226719,57,57.0,3.6147338906587954
m0.35_L0.33_S0.43_rm1,0.35,0.33,0.43,True,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.48_rm0,0.35,0.33,0.48,False,1,3379.464981775498,3379.464981775498,649.2575492169126,54,54.0,5.205122352218413
m0.35_L0.33_S0.48_rm1,0.35,0.33,0.48,True,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm0,0.35,0.33,0.53,False,1,3146.754553215992,3146.754553215992,463.47932750362816,48,48.0,6.789417275987048
m0.35_L0.33_S0.53_rm1,0.35,0.33,0.53,True,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.58_rm0,0.35,0.33,0.58,False,1,3022.2107013297027,3022.2107013297027,463.47932750362816,45,45.0,6.52070226650194
m0.35_L0.33_S0.58_rm1,0.35,0.33,0.58,True,1,3163.438524427949,3163.438524427949,49.9800000000032,13,13.0,63.29408812380444
m0.35_L0.33_S0.63_rm0,0.35,0.33,0.63,False,1,3211.8815020257207,3211.8815020257207,407.355214158888,46,46.0,7.884719258246523
m0.35_L0.33_S0.63_rm1,0.35,0.33,0.63,True,1,3128.8399341176655,3128.8399341176655,49.9800000000032,14,14.0,62.60183941811655
m0.35_L0.38_S0.43_rm0,0.35,0.38,0.43,False,1,3232.4271072814868,3232.4271072814868,1115.2660936481698,57,57.0,2.898346076950863
m0.35_L0.38_S0.43_rm1,0.35,0.38,0.43,True,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.48_rm0,0.35,0.38,0.48,False,1,3477.4288274084374,3477.4288274084374,1062.7660936481698,54,54.0,3.2720547335786994
m0.35_L0.38_S0.48_rm1,0.35,0.38,0.48,True,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.53_rm0,0.35,0.38,0.53,False,1,3039.1998690660325,3039.1998690660325,918.661119546945,47,47.0,3.3082926929190943
m0.35_L0.38_S0.53_rm1,0.35,0.38,0.53,True,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.58_rm0,0.35,0.38,0.58,False,1,3009.136964986576,3009.136964986576,1062.8462740830873,53,53.0,2.831206203909916
