batch,exp_id,status,architecture,labeling_method,sample_weight,cv_method,calibration,feature_set,median_test_auc,median_train_auc,std_test_auc,median_pr_auc,median_brier,pct_signals_055,pct_signals_060,est_trades_per_day,train_test_gap,n_successful_folds,score
batch3,batch3_exp_00028,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5068313841337728,0.92476660676795,0.06161329495301819,0.5707783567787869,0.30079290612945164,0.27466820542412,0.22619734564339297,2.8159160472234372,0.3894861642457816,9,0.41396611264991173
batch3,batch3_exp_00029,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5239007526236379,0.904901568484326,0.07343849625572163,0.5411317220605112,0.292293495669722,0.22497522299306244,0.1759167492566898,3.7071899210774024,0.3526780955233032,9,0.40433054077140773
batch3,batch3_exp_00030,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5068313841337728,0.92476660676795,0.06161329495301819,0.5707783567787869,0.30079290612945164,0.27466820542412,0.22619734564339297,2.8159160472234372,0.3894861642457816,9,0.41396611264991173
batch3,batch3_exp_00031,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00032,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00033,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5247571490376134,0.9047725836972023,0.07442763220195293,0.5421918268076893,0.29295330338433717,0.21655104063429137,0.17542120911793854,3.653405994550409,0.3526281071372832,9,0.4014747056762846
batch3,batch3_exp_00034,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00035,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00036,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00037,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5183924750637172,0.9071807883022525,0.07447269014451155,0.5367018151898206,0.2956122190486006,0.19474727452923687,0.1605550049554014,3.1040871934604906,0.3565671976944673,9,0.3889343948499251
batch3,batch3_exp_00038,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5122256699110459,0.9246867418123296,0.06049955675025549,0.5746078920648003,0.30017919905812773,0.2775533756491633,0.22735141373341028,3.0695233930913863,0.38673430493163485,9,0.41835675220629287
batch3,batch3_exp_00039,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5181012338883537,0.904545114658199,0.05808882614330819,0.5569033224520494,0.297661076214209,0.31343283582089554,0.27185501066098083,3.6503883969797375,0.3718739641524615,9,0.4362338746613704
batch3,batch3_exp_00040,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00041,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5055899405870747,0.921365085703568,0.05973947264367572,0.5753530844929,0.29966230058937865,0.2775533756491633,0.22735141373341028,3.367161628031193,0.38768480512312686,9,0.41437531461191013
batch3,batch3_exp_00042,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00043,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00044,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00045,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5082657267887258,0.9236962953551268,0.06062616300540497,0.5727985396638366,0.2996849046250123,0.276399307559146,0.22908251586843623,3.1219938784433756,0.3874725037935256,9,0.4155191590968939
batch3,batch3_exp_00046,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00047,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5068313841337728,0.92476660676795,0.06161329495301819,0.5707783567787869,0.30079290612945164,0.27466820542412,0.22619734564339297,2.8159160472234372,0.3894861642457816,9,0.41396611264991173
batch3,batch3_exp_00048,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00049,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00050,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00051,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00052,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00053,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00054,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00055,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5247571490376134,0.9047725836972023,0.07372964149758232,0.5421918268076893,0.29295330338433717,0.21655104063429137,0.17542120911793854,3.6185286103542236,0.35240967369775844,9,0.4014747056762846
batch3,batch3_exp_00056,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5181012338883537,0.904545114658199,0.05803931128716333,0.5569033224520494,0.297661076214209,0.31769722814498935,0.27611940298507465,3.6503883969797375,0.37113432389586637,9,0.4379396315910079
batch3,batch3_exp_00057,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5082657267887258,0.9236962953551268,0.06062616300540497,0.5727985396638366,0.2996849046250123,0.276399307559146,0.22908251586843623,3.1219938784433756,0.3874725037935256,9,0.4155191590968939
